x,y,species cloglog values
749.0,749.0,0.56047904
750.0,750.0,0.02302217
751.0,751.0,0.6577146
752.0,752.0,0.3474827
753.0,753.0,0.8019109
754.0,754.0,0.36738786
755.0,755.0,0.020235017
756.0,756.0,0.10311034
757.0,757.0,0.6398961
758.0,758.0,0.45839643
759.0,759.0,0.20769463
760.0,760.0,0.28553486
761.0,761.0,0.0110481735
762.0,762.0,0.10644114
763.0,763.0,0.062400147
764.0,764.0,0.009609898
765.0,765.0,0.39839002
766.0,766.0,0.1462576
767.0,767.0,0.73087007
768.0,768.0,0.15909268
769.0,769.0,0.02895632
770.0,770.0,0.14241745
771.0,771.0,0.013180048
772.0,772.0,0.56303084
773.0,773.0,0.06653292
774.0,774.0,0.17444438
775.0,775.0,0.10547591
776.0,776.0,0.6123519
777.0,777.0,0.19423461
778.0,778.0,0.30016556
779.0,779.0,0.12742761
780.0,780.0,0.096041806
781.0,781.0,0.64881015
782.0,782.0,0.65136385
783.0,783.0,0.48073703
784.0,784.0,0.6327699
785.0,785.0,0.68582183
786.0,786.0,0.20993176
787.0,787.0,0.3848427
788.0,788.0,0.31597504
789.0,789.0,0.61618185
790.0,790.0,0.020459019
791.0,791.0,0.5443154
792.0,792.0,0.007728122
793.0,793.0,0.15244654
794.0,794.0,0.22843593
795.0,795.0,0.8467712
796.0,796.0,0.3043974
797.0,797.0,0.52973276
798.0,798.0,0.43627903
799.0,799.0,0.7840488
800.0,800.0,0.485436
801.0,801.0,0.17169282
802.0,802.0,0.4795024
803.0,803.0,0.55995566
804.0,804.0,0.039228346
805.0,805.0,0.6138713
806.0,806.0,0.8320782
807.0,807.0,0.66222465
808.0,808.0,0.36649054
809.0,809.0,0.038424596
810.0,810.0,0.68024665
811.0,811.0,0.5033536
812.0,812.0,0.6618854
813.0,813.0,0.39785776
814.0,814.0,0.023620266
815.0,815.0,0.5671483
816.0,816.0,0.4210383
817.0,817.0,0.67833847
818.0,818.0,0.3525499
819.0,819.0,0.45218292
820.0,820.0,0.4910553
821.0,821.0,0.67016757
822.0,822.0,0.20814697
823.0,823.0,0.44349936
824.0,824.0,0.46914697
825.0,825.0,0.05162648
826.0,826.0,0.32439592
827.0,827.0,0.7911382
828.0,828.0,0.37371743
829.0,829.0,0.99319977
830.0,830.0,0.28516716
831.0,831.0,0.058189373
832.0,832.0,0.027686074
833.0,833.0,0.93649614
834.0,834.0,0.047988668
835.0,835.0,0.092714325
836.0,836.0,0.14711872
837.0,837.0,0.71707547
838.0,838.0,0.77088064
839.0,839.0,0.025903063
840.0,840.0,0.02366531
841.0,841.0,0.51267195
842.0,842.0,0.078894004
843.0,843.0,0.40740746
844.0,844.0,0.6627777
845.0,845.0,0.6777105
846.0,846.0,0.33718118
847.0,847.0,0.007076411
848.0,848.0,0.09040825
849.0,849.0,0.9851639
850.0,850.0,0.2984787
851.0,851.0,0.9490788
852.0,852.0,0.33956924
853.0,853.0,0.0076940157
854.0,854.0,0.28254363
855.0,855.0,0.05566215
856.0,856.0,0.60247844
857.0,857.0,0.81324303
858.0,858.0,0.8843732
859.0,859.0,0.77135223
860.0,860.0,0.05098926
861.0,861.0,0.5446763
862.0,862.0,0.14624706
863.0,863.0,0.25083393
864.0,864.0,0.7539254
865.0,865.0,0.13142557
866.0,866.0,0.53163826
867.0,867.0,0.15413502
868.0,868.0,0.52053326
869.0,869.0,0.11242797
870.0,870.0,0.034990694
871.0,871.0,0.07022141
872.0,872.0,0.2544718
873.0,873.0,0.7661588
874.0,874.0,0.52398217
875.0,875.0,0.09931153
876.0,876.0,0.022732334
877.0,877.0,0.028875824
878.0,878.0,0.770923
879.0,879.0,0.011778637
880.0,880.0,0.067526795
881.0,881.0,0.068198584
882.0,882.0,0.06233474
883.0,883.0,0.17728448
884.0,884.0,0.013708125
885.0,885.0,0.029712379
886.0,886.0,0.6584792
887.0,887.0,0.4350418
888.0,888.0,0.1906754
889.0,889.0,0.70462704
890.0,890.0,0.04860094
891.0,891.0,0.25614092
892.0,892.0,0.13842973
893.0,893.0,0.02999417
894.0,894.0,0.08651358
895.0,895.0,0.13688956
896.0,896.0,0.66522056
897.0,897.0,0.27696148
898.0,898.0,0.16606803
899.0,899.0,0.33577892
900.0,900.0,0.16814768
901.0,901.0,0.3639293
902.0,902.0,0.04645406
903.0,903.0,0.4094168
904.0,904.0,0.40456572
905.0,905.0,0.121431015
906.0,906.0,0.33017293
907.0,907.0,0.5613968
908.0,908.0,0.54853576
909.0,909.0,0.18277314
910.0,910.0,0.8361253
911.0,911.0,0.20170547
912.0,912.0,0.722137
913.0,913.0,0.029286817
914.0,914.0,0.28145823
915.0,915.0,0.20262681
916.0,916.0,0.24759676
917.0,917.0,0.15547937
918.0,918.0,0.7767836
919.0,919.0,0.21612565
920.0,920.0,0.0015462356
921.0,921.0,0.4190095
922.0,922.0,0.9135277
923.0,923.0,0.055918302
924.0,924.0,0.6454589
925.0,925.0,0.47093543
926.0,926.0,0.4163841
927.0,927.0,0.36887047
928.0,928.0,0.4384398
929.0,929.0,0.30400464
930.0,930.0,0.8130718
931.0,931.0,0.1671509
932.0,932.0,0.3404344
933.0,933.0,0.001483569
934.0,934.0,0.80575114
935.0,935.0,0.62824
936.0,936.0,0.06046978
937.0,937.0,0.036064416
938.0,938.0,0.78316355
939.0,939.0,0.6856329
940.0,940.0,0.27327147
941.0,941.0,0.5191411
942.0,942.0,0.1387173
943.0,943.0,0.7780051
944.0,944.0,0.2528724
945.0,945.0,0.010975551
946.0,946.0,0.13822268
947.0,947.0,0.2844987
948.0,948.0,0.5810743
949.0,949.0,0.8393879
950.0,950.0,0.5343719
951.0,951.0,0.028533349
952.0,952.0,0.39161694
953.0,953.0,0.36812696
954.0,954.0,0.07992568
955.0,955.0,0.217812
956.0,956.0,0.28969115
957.0,957.0,0.022429578
958.0,958.0,0.43368414
959.0,959.0,0.118991144
960.0,960.0,0.3598583
961.0,961.0,0.7052411
962.0,962.0,0.7167725
963.0,963.0,0.44942915
964.0,964.0,0.61871123
965.0,965.0,0.1254631
966.0,966.0,0.4940455
967.0,967.0,0.8247682
968.0,968.0,0.0652053
969.0,969.0,0.57039714
970.0,970.0,0.056638677
971.0,971.0,0.23358789
972.0,972.0,0.74981153
973.0,973.0,0.028369203
974.0,974.0,0.7089743
975.0,975.0,0.06656162
976.0,976.0,0.15550028
977.0,977.0,0.010494362
978.0,978.0,0.57706434
979.0,979.0,0.14989005
980.0,980.0,0.020678762
981.0,981.0,0.4603837
982.0,982.0,0.5784042
983.0,983.0,0.2308521
984.0,984.0,0.38910618
985.0,985.0,0.6884905
986.0,986.0,0.12153897
987.0,987.0,0.10106934
988.0,988.0,0.30318204
989.0,989.0,0.03394829
990.0,990.0,0.9826841
991.0,991.0,0.7251804
992.0,992.0,0.75239563
993.0,993.0,0.6507182
994.0,994.0,0.04671019
995.0,995.0,0.32628402
996.0,996.0,0.19513153
997.0,997.0,0.71993905
998.0,998.0,0.55030465
