Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.35564E-4,32.010362272,0.545887649,0.290526534,0.181818182,0
1.36307E-4,32.255216796,0.547847969,0.288660862,0.181818182,0
1.37157E-4,32.501516512,0.550079454,0.286795191,0.181818182,0
1.37792E-4,32.762683277,0.551739898,0.284825871,0.181818182,0
1.38777E-4,33.011571672,0.554305637,0.282960199,0.194805195,0
1.39645E-4,33.262067454,0.556553168,0.281094527,0.194805195,0
1.40135E-4,33.513771657,0.557815929,0.279228856,0.207792208,0
1.40918E-4,33.752764176,0.559827185,0.277466833,0.207792208,0
1.41659E-4,34.007156919,0.561722034,0.275601161,0.207792208,0
1.42379E-4,34.262817776,0.563556191,0.273735489,0.207792208,0
1.43019E-4,34.505466473,0.565180391,0.271973466,0.207792208,0
1.4388E-4,34.763754193,0.567354897,0.270107794,0.207792208,0
1.44288E-4,35.008728185,0.568380483,0.268345771,0.207792208,0
1.44791E-4,35.254463317,0.569643869,0.266583748,0.207792208,0
1.45353E-4,35.501161467,0.571048976,0.264821725,0.207792208,0
1.46464E-4,35.763894146,0.573815407,0.262956053,0.207792208,0
1.47308E-4,36.013618893,0.575904659,0.26119403,0.207792208,0
1.4799E-4,36.264584385,0.577586776,0.259432007,0.207792208,0
1.48686E-4,36.502011452,0.57929421,0.257773632,0.207792208,0
1.49302E-4,36.755434775,0.580801584,0.256011609,0.207792208,0
1.49811E-4,37.009709623,0.582041173,0.254249585,0.207792208,0
1.50781E-4,37.265067007,0.584395238,0.252487562,0.220779221,0
1.51318E-4,37.506861744,0.585692914,0.250829187,0.220779221,0
1.52202E-4,37.765098342,0.587820695,0.249067164,0.220779221,0
1.52953E-4,38.009389361,0.589617788,0.247408789,0.233766234,0
1.53846E-4,38.254936852,0.591747785,0.245750415,0.233766234,0
1.54655E-4,38.501875306,0.593666294,0.24409204,0.233766234,0
1.55401E-4,38.765415622,0.595426816,0.242330017,0.246753247,0
1.56124E-4,39.01458854,0.597127109,0.240671642,0.25974026,0
1.57013E-4,39.265174635,0.599208078,0.239013267,0.272727273,0
1.57921E-4,39.501423713,0.601320718,0.237458541,0.285714286,0
1.58563E-4,39.754750605,0.602808369,0.235800166,0.298701299,0
1.59479E-4,40.009299414,0.604920773,0.234141791,0.298701299,0
1.60371E-4,40.265114741,0.606968368,0.232483416,0.298701299,0
1.60981E-4,40.506236641,0.608362661,0.23092869,0.298701299,0
1.61475E-4,40.764193324,0.609487445,0.229270315,0.298701299,0
1.62293E-4,41.006995383,0.611341952,0.227715589,0.298701299,0
1.62927E-4,41.250853958,0.612774374,0.226160862,0.298701299,0
1.63598E-4,41.512166192,0.61428523,0.224502488,0.298701299,0
1.64104E-4,41.757956693,0.615420423,0.222947761,0.298701299,0
1.64779E-4,42.004590741,0.616929656,0.221393035,0.298701299,0
1.6558E-4,42.252414675,0.618711167,0.219838308,0.298701299,0
1.6661E-4,42.501944117,0.620991582,0.218283582,0.298701299,0
1.6724E-4,42.75235374,0.622378583,0.216728856,0.298701299,0
1.68202E-4,43.003900772,0.624489102,0.215174129,0.298701299,0
1.69005E-4,43.25673989,0.626240497,0.213619403,0.298701299,0
1.70312E-4,43.511337544,0.629074661,0.212064677,0.298701299,0
1.71244E-4,43.750390149,0.631081595,0.210613599,0.298701299,0
1.72095E-4,44.007958532,0.632906216,0.209058872,0.311688312,0
1.73056E-4,44.266899946,0.634954094,0.207504146,0.324675325,0
