Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.65767E-5,7.254024539,0.235312153,0.581081081,0.038961039,0
4.77975E-5,7.503862703,0.240670442,0.575571726,0.038961039,0
4.88642E-5,7.750608078,0.245321791,0.57027027,0.038961039,0
5.02321E-5,8.00362945,0.251244887,0.564968815,0.038961039,0
5.14256E-5,8.252718645,0.256374687,0.55987526,0.038961039,0
5.25981E-5,8.502479365,0.261379937,0.554885655,0.038961039,0
5.38436E-5,8.752747582,0.26666006,0.55,0.038961039,0
5.50514E-5,9.002814451,0.271743938,0.545218295,0.038961039,0
5.60571E-5,9.252791931,0.275950755,0.540540541,0.051948052,0
5.68862E-5,9.501343371,0.279400311,0.535966736,0.077922078,0
5.79453E-5,9.753985899,0.283782996,0.531392931,0.077922078,0
5.91421E-5,10.005805842,0.288703189,0.526923077,0.077922078,0
5.99337E-5,10.250017288,0.291939178,0.522661123,0.077922078,0
6.10834E-5,10.503969209,0.29661295,0.518295218,0.077922078,0
6.21265E-5,10.750417922,0.300826555,0.514137214,0.077922078,0
6.3039E-5,11.00087474,0.304491891,0.50997921,0.077922078,0
6.42026E-5,11.255280927,0.309137723,0.505821206,0.077922078,0
6.52374E-5,11.501445832,0.313243484,0.501871102,0.077922078,0
6.62993E-5,11.751393467,0.317431448,0.497920998,0.077922078,0
6.70945E-5,12.004559054,0.320550809,0.493970894,0.077922078,0
6.81881E-5,12.254592003,0.324817207,0.49012474,0.077922078,0
6.93059E-5,12.502415525,0.329150381,0.486382536,0.077922078,0
7.02735E-5,12.753861089,0.332878968,0.482640333,0.077922078,0
7.11908E-5,13.001590402,0.336394724,0.479002079,0.090909091,0
7.23236E-5,13.252940336,0.340710856,0.475363825,0.090909091,0
7.30924E-5,13.500174641,0.343623756,0.471829522,0.090909091,0
7.40915E-5,13.750100047,0.347390226,0.468295218,0.103896104,0
7.52306E-5,14.003891431,0.35165848,0.464760915,0.103896104,0
7.5941E-5,14.25323661,0.354305859,0.461330561,0.103896104,0
7.68496E-5,14.505177503,0.357676385,0.457900208,0.116883117,0
7.79674E-5,14.752733874,0.361799023,0.454573805,0.116883117,0
7.88156E-5,15.003313399,0.364909181,0.451247401,0.116883117,0
7.94854E-5,15.256598297,0.367354787,0.447920998,0.116883117,0
8.04191E-5,15.504497959,0.370748284,0.444698545,0.116883117,0
8.14635E-5,15.75538184,0.37452233,0.441476091,0.116883117,0
8.22974E-5,16.001037992,0.377519429,0.438357588,0.116883117,0
8.3521E-5,16.258053386,0.381891554,0.435135135,0.116883117,0
8.45562E-5,16.501680472,0.385566364,0.432120582,0.116883117,0
8.55672E-5,16.756764886,0.389133925,0.429002079,0.116883117,0
8.6426E-5,17.006168839,0.392148403,0.425987526,0.116883117,0
8.71548E-5,17.257991189,0.394694767,0.422972973,0.116883117,0
8.82526E-5,17.503593271,0.398510397,0.42006237,0.116883117,0
8.95098E-5,17.752422175,0.402850337,0.417151767,0.116883117,0
9.02659E-5,18.004111131,0.405445249,0.414241164,0.12987013,0
9.12521E-5,18.258202199,0.408813067,0.411330561,0.12987013,0
9.2476E-5,18.506435429,0.412966384,0.408523909,0.12987013,0
